PhraseNo,Phrase,IsHateSpeech
16,Ai mahinda gen polonnaruve valikande hmbawnaAkkara 1800 maddida sanga den unp yen akkara kiyak onida ? Apita ogama danna kaururh nane dun noth apith dannava karan naoni vada,YES
17,ජයසූරිය mathakada ow ow sanath ජයසූරිය thama .....eyatath wada KUJITHA wela yannai sangata wenne,YES
18,රට හදන්න ඕනේ නම් එන්ජීඕ ගැට වලින් මිදී ගෙදරට වී ඉන්න,YES
19,Dana reddak sinhalen danna kiyanna.. meka lankawa,YES
20,කියන්න වැඩ හොදනම් හදවතින්ම සපෝර්ට් හැබැයි පොහොට්ටුව samaga නොවී U N p nam නම් හුරේ,YES
21,President wenna puluwan bauddayekuta witharai. Me yaka Croatian,YES
22,රට හදන්න කලින් මිනිසුන් රවටන ප්‍රචාරක දැන්විම් වලින් මුදල් හම්බ කරන එක නවත්වා සමාජයට සේවයක් කරන්න.,YES
23,ජයසූරියත් ආවෙ..කෝ රට හැදුවද ? හැදුවද ? නෑ..නෙ...නෑ නෙ...ඌ ලමයි හැදුවා,YES
24,ආ එතකොට අපිටත් ඇඩ් එකක ඉන්න පුළුවන් වෙයි නේ..,YES
25,පොන්නයො රට පලනය කරනකොට ඔහොම තමා.ජිවිතේ අසාවෙන් බලපු එකම දේ ක්‍රිකට් එකත් නැති කරා මේ පොන්නයො,YES
26,ඔය කාරනය හරියට විග්‍රහ කරන්න ඩුප්ලිකේට් මහමෙව්නාවේ ඩුප්ලිකේට් කල්‍යාණ මිතුරන්ට පුලුවන් නම් දිව්‍ය ලෝක promote කරයි‍ ද?,YES
27,ස්ට්‍රයික් කරන ඔක්කොටම ගහන්න ඕන දෝස්තරලාත් ඇතුලු,YES
28,"Aka satha 5k wadi karanna epa okunta,wada karanna bai nam job eken elawanna,eliye job nathi ewun oni tharam ennawa.",YES
29,ගිය ආන්ඩුව කාලෙ ඔහොම නැටුවේ නෑ.මුන්ගෙ කොන්ද පන නෑ.,YES
30,ඉතිං බං උබලා පිස්සු නටලා ඊට වඩා පඩි ගන්නෙ ඕක මොකක්ද.,YES
31,කල්ලතෝනි පකෙක්..,YES
32,අැත්තටම හරිම සතුටුයි.එ් මනුස්සකමට.එ් වගේම අරාබියට ගිහින්එන අපේ මුස්ලිමි කාන්තාවන් මුන වහගෙන බිල්ලෝ වගේ එනකොට මේ නෝනා හරිම සුන්දර විදියට අැවිත් ඉන්නවා.,YES
33,kisi quality ekak nathi apatayek,YES
34,Munta chande Dena buruwo innawane thawath me rate,YES
35,මේ කැරිවේසිග පුතාල ඉන්නකල් රටට කෙලවෙන එක අහන්නත් දෙයක්ද බන්..කාලකන්නි හැත්ත...බල්ලො රටේ ලොක්කො වෙනකොට රට බල්ලට යන එක අහන්නත් දෙයක්ද,YES
36,thota henagapiya kadaya thilangayawa hurathal karapan esige putha,YES
37,cricket kridawa kawe oi thirisana... oi putuwa deehan sangata. Un dawiwaru yakooo..,YES
38,kwda me lat roy kiyana ekaa? lat hoodana ekek da?,YES
39,ekata ape eka..thuuu....,YES
40,තොපි වගේ නාහෙන් අඩන කාලකන්නි පොන්නයො නිසා තමයි අපේ සංගීතයට අද කණ කොකා හඩලා තියෙන්නෙ...ලැජ්ජයි යකෝ...තෝ වගේ එකෙක් ආයෙ මුණ ගැහුනා නම් ඌත් තෝ වගේම අඩයිනෙ දවසක,YES
41,dakuna menessuu harema arthmarthakameeeeeeeeeeee.,YES
42,sinhalayo kuhakayo,YES
43,අපොයි 2020 ජනාධිපති නෙද හුත්තෝ උබ උබ හොදයි නගරසභාවේ toilet සුද්ද කරන්න.හිකුණ්ඨික සක්කිලියා,YES
44,මොනව උනත් පොලිසියෙ ඉන්නෙ බල්ලො,YES
45,Lankawe wage political majarayo innakam police quality eka wadi karanna baha.....,YES
46,තෝ වගෙ එකෙක් අනේ මන්ද යකෝ...වැදගත් දෙයක් කරපිය....ගොන් වස්සෙක්....ඉදකින් හුත්තො,YES
47,Lanka we inne labba bahapu naki police karayo ne..bulath wite kagena...ahisaka bike ekak nawath wala ugen rs . 500 aragena lami ta ganun ta kanna dena.,YES
48,kasippu karayagen ganja karayagen keeyak hari aragena...unge bothalayata..yata una..kisima puhunuwak nathi gon harak tikak ne...police office ekak paththata nikamata gihilla blapalla...ali wrdi walatath duwana un inne...gam walin apu rilau...,YES
49,"ඇයි යකෝ ලංකාවේ පොලිසිය,නිරායුධ මිනිසුන්ට ගහන්නේ එලවා එලවා",YES
50,Ape polisiya atule tmai wadiyenma horu inne,YES
51,arawa kanno echchari danne policeya gena,YES
52,පොලිස්සිය තාමත් කැද හැලි වගේ. තරැන කොල්ලොන්ට ජීවිතෙන් වන්දි ගෙවන්න වෙන්නෙ නාකි පප්පල බුලත්විටක් කාගෙන අඩි දහයක් දුවා ගන්න බැරි නිසා.,YES
53,තුවක්කු පුහුනුව දෙන්නෙ training එකේ විතරයි.. ඉලක්කයක් අරන් වෙඩි තියන්න කී දෙනාද දක්ෂ. නාකි පප්පල ටික ගහල පන්නන්න ඕන ජරාව කකා ඉන්නන් වාලේ ඉන්නවට.අනිත් එක සාමාන්‍ය මිනිස්සු ඉන්න තත්වයකදි මේ විදියට වෙඩි තැබීම අනුමත කරන්න බැ.,YES
54,පාතාල කාරයන්ට මනුස්සකමක් නැනේ.මුන් බයික් වලට නගිනකන් ඉවසන්න තිබුනේ.නැත්තන් තත්වය බලල stf ගෙනන්න තිබුනේ. කොහේද ලොක්කො දෙන අණ නේ.. අපරාදෙ වටින ජීවිතයක්.,YES
55,.ගිහින් ඔය එකෙක්ටවත් ආපහු මේ ලෝකේ දකින්න ඉඩ තියන්න එපා...මුන්ව හිරේ යවන්නනම් එපා..මරලා දානවා මිසක්,YES
56,අනේ මෙහෙමත් කුහක මිනිස්සු...,YES
57,මෙතන හොරු හොදට තුවක්කුවලින් වෙඩි තියනවා. පොලිසිය අත වන වන ඇවිත් හොරුන්ගෙන් වෙඩි කනවා ගුටි කනවා.,YES
58,මෙලෝ රහක් නැති උන් ඉන්න ටවුන් එකක්...,YES
59,මන්නම් කියන්නෙ පොලිසියෙ උන්නැහැලා ටිකටත් stf පුහුණුවක් අවශයයි..මොකද හොරාට පන්න ගන්න බැ...මොලෙ පාවිච්චි කරලා හොරා කොටු කරගන්නෙ නැ...ගොන් වැඩ ගොඩක් තියෙනව..,YES
60,කතා කරෝත් මහ ලොකුවට අපි.දකුණේ..කෝන්දක් තීයන1 කේනේක් නෑ පොලිසිය අයියව ..උස්සන්න..ඔය උස්සපු අයියා විතරයි..පිරිමි යේක් කියලා.,YES
61,මමනං දැක්කේ..අනිත් ඔක්කෝම පිරිමී ..අපි..අදින ගවුම් වලට වඩා..හෝද නයිටි ටිකක් ඇදගන්න...ලැජ්ජයි මට නම් මාතර අයට පිරිමි කියන්න....දැක්ක හොදම නපුංසකයෝ නම් මාතර තමා....අනේ ප්ලීස්..ඔය මංකොල්ල කාරයෝ.,YES
62,ඔක්කෝම .කෝහෝම හරි...වෙඩිතියල මරලා දාන්න..පොලිස්පති තුමනි..අයේත් මේවැනි දේ නොවෙන්න....,YES
63,මව් බිම නැති නම් මරණය....මෙයයි තේමා පාටය විය යුත්තේ ...ඔය පෝන් කෝල් වලට බයේ රාජකාරි කරන කාලය ඇත හැරි යුතුයි.,YES
64,ratakata giya kalak.vahane dora arinna ekek help kare ne.ara manussayata.me aparade karapu un tama nidalle.rate maha un ponnayo ekai me serama dewal.okunat chance denna epa tatwat.,YES
65,Pathali para haththa akekwath ethuru karanna epa.okunge daruwanta edala hena gahanawa para ballo.,YES
66,තුවක්කුවක් නැත්තං පැත්තකට වෙලා ඉදපංකො විහිං මැරැම්කන්නැතිව.තුවක්කු තියං ඉන්න මංකොලල කාරයන්ට බැටන්පොල්ලෙන් ගහන්න ගියාම මැරැංකන එක අහන්නත් දෙයක්ද.මේක මහ මෝඩයෙක්,YES
67,Ashi Hashi ඔවාට දකුණේ එකෙක් ඒක කෙලින් කියන්න වෙන වෙන සීන් ගැන කියල මඩ ගහන්නෙ නැතුව,YES
68,"Ahama.kiyana.apa.natara.kiyann.apa.gama.policya.wada.waradagan.tiyana.nisai.minusu.ahka.baluwa.nikaruna.kollo.maranawa.horu.maragann.ba.bayta.akada.yahpalan.ahinsa.amm.adanwa.ada.puta.batuwa.oya,sakilli.bollonga.oluwata.waditiyala.danna.ona.",YES
69,මත්ද්‍රව්‍යවලට ඇබ්බැහි වෙලා මිනිස්සු මරලා හරි සල්ලි ඔිිනි පොලිසියට පෙර පුහුණුවක් නැති විම පුජිත දේසපාලකන්ගේ කකුල් ලේවකනවා කොල්ලා නිකන් මැරැැනා,YES
70,යකෝ හරිහමන් තුවක්කුවක් දෙන්න බැරිද බන්.. ඇමති අයගේ වාහන වලට කෝටි ප්‍රකෝටි ගනන් නාස්ති කරනවා ඕන දේකට වියදම් කරන්නේ නෑ...,YES
71,Me horu training une koheda?,YES
72,Thattayaa mokek daa uuu karikii karikii innee pissek wagee... udauu karannee nathywaa... mona pissek daa mandaa..,YES
73,Maraladanna thiyenne okunwa.mathara un dakune kiyala kehegahuwata bayagullo inne.,YES
74,අර දිවියව මරපු මිනිස්සු තරම් අපරාධ කාරයෝ නෙමේ වෙන්න ඇති මේ පොලිස් නිලධාරියාව මරපු මිනිමරුවෝ.එකනේ ඒ තරම් දරුණු වචන නැත්තේ මේ මිනි මරුවන්ට එරෙහිව,YES
75,Oya jatika arakahawa sambanda inna uda pena pena kata meta dodawana amatio ..dipan polisiata hoda wepan mesinngan..arun ottu sellam karanawa maha pare hat denek duwanawa..lejjai..dipan oya pattama. Patalema. Tawa ekekuta palayan paw nodi gedara.....,YES
76,Lankawe inna samahara pirimi napunsakayo ara manussayata wahane dora arala dennawat kenek enne ne mun pirimida ane e manussaya veerayek attatama ..,YES
77,තවත් එක් සෝමාලියාවක් වගේ.ශිට්,YES
78,Meyata aydayak tibbanam aniwa dennekwath bawanawa aprade....,YES
79,පාතාලයේ කියන හැම එකාවම මරල දාන්න ඕනා...,YES
80,Hospital inna ewun tikath wada deela maranda thiyenne,YES
81,ත්‍රිවිධ හමුදාවට පොලිසිය අසරණ කරන්න තහංචි පනවා. හොරුන්ට නීති රීති ලිහිල්වුන රටක් ලංකාව.,YES
82,කියන්න නම් එපා අපි දකුනේ කියලා....විලි ලැජ්ජයි යකෝ.,YES
83,ඕකුන්වත් පෝලිමට තියලා මරලා දාපල්ලා. අර අහිංසකයට වුනා වගේම.,YES
84,Shit ara ekek dakalat dakke na wage yanawa..,YES
85,Waha palane raga tamai oya,YES
86,"වෙනසෙ සැප පේනවනේ ,මෙි රටෙි නිතිය බල්ලට ගිහින්",YES
87,ලංකාවේ hema tanama oya wage tamai R.D.A නිලධාරීන් owa දකින්නේ nati එක හරිම කනගාටුදායක (අපෙන් බඳු ගහන සල්ලිවලින්. කරන අපරාධ Henaghanawa munta tu),YES
88,Ape peththeth oya wede mai කරන්නේ .මහින්ද මහත්තයා නැතිකම දැනෙනවා .hitiyanam අපිත් ගොඩ,YES
89,දැන් බැන බැන මේකෙ පෝස්ට් දැම්මට මේවා පිලිවෙලට මහින්දගෙ කාලෙ සිද්ධ උනා... ඒවාට අසංවේදී උන මෝඩ උද්ධච්ඡ මිනිස්සුන්ගෙ ඡන්ද වල පිහිටෙන් ලැබුනු වෙනස තමයි මේ තියෙන්න්නේ...,YES
90,තුවාල වලට බේත් දානවා වගේ.....කියන්න දුකයි සිංහල ජාතිය කාළකණ්නි ජාතියක් බවට පත් වී හමාරයි,YES
91,mewata loku baladarin waga kiyanna ona mun okkoma ekai mahajana mudal nasthi karana kalakanni balu heththa,YES
92,ඇත්තම කියනවනම් ලංකාව හරිම කාලකන්නි රටක්.,YES
93,කාලකන්නි හැතිකරය අපේ සල්ලි වලින් ලබු කන මෙි වාගේ රජයේ අයතන වලට හන හගන්න ඔන,YES
94,akke aewa loku unge weradi,YES
95,mun wage kalakanni innakan ratawal diunukarana be,YES
96,මුන් ඔක්කොම රට කනවා අනේ අපේ බදු ගන්න සල්ලි,YES
97,ඒත් උඹ අර හොටු පෙරං අඬන හෙලු කෙල්ලොංගෙ videosui අනික් ලබ්බවල් වලට වඩා මේ කරපු වැඩේනම් great බං...,YES
98,Api thathala nathuwa duk wenwa me kalaknni thaththala idala salakanne,YES
99,මොනතරම් ගින්දරක් පපු ඇතුලේ පත්තු වෙනවා අැද්ද...තාත්තා මේ අත් පා උස්මහත් කරපු තාත්තා දෙයියනේ...ශාප වෙයි උඹලට මේ ආත්මෙම..,YES
100,thopi wage lamainta me athmedi hena wadina ona,YES
101,උගෙ අප්පගෙ නීතියක්නෙ යකො එක අර රංගෙ බන්ඩාරගෙ පුතා 3 පාරක් වාහනෙ හප්පලා එක මිනිහෙක් මරලා පවුලක් අබ්බගාතයො කරා කො නිතිය මෙපාර ගෙයක් කුඩු කරලා හොදටම බීලා වාහනෙ ඇතුලෙ කඩු පොලු තියෙද්දිත් කොහොමද යකො ඌට ඇප දෙන්නෙ,YES
102,NGO වලින්ද එතකොට ලංකාවෙ නිතිය ක්රියාත්මක කරන්නෙ නොදකිං කලකිරෙනවා මෙවා දැක්කම මොනද මෙ අපෙ රටට වෙන්නෙ,YES
103,Henama gahapiya okita.NGO karayanta puka dipan thawath wesi.tho marunu data pansukule denneth අපේ හාමුදුරුවෝ mthaka thiya ganin.thota sapa wenawa.shinhalaya gana ktha krapu අපේ හාමුදුරුවන්ට මෙහෙම කරාට .,YES
104,Mewata katha karanna wachana ne..hithe wairaya athi karanawata wada...wadath hidama de munta swabadahama thulin lebena දඬුවම diha nihathamaniwa balasitimai.....sandya kiyana wesa genita hidata ninda yanawa athi den,YES
105,Gon genita saapa වේවා....me athmedima palisan දේවා හාමුදුරුවෝ namak hireta yeuwata..,YES
106,Hamudurowo kiwe aththak..ube miniha KOtiyek..LTTE eken salli gaththa oththu karayek...apith 2020 passe me kalakanni anduwa gedara yawala sahimakata path wenawa,YES
107,Oyage thawakalika sathuta uparima winda ganna okata windawanna weddi daraganna bari wei,YES
108,ගොං හුත්තී... හැමිනියන් වෙසී... තොට සාප වේනවා බැල්ලීයේ...,YES
109,කියන්න දුකයි අපෙ රටේ ලොකු තැන්වල උන් පිරිහිලා ඉවරයි. බලයට ධනයට ආගම ජාතිය විකුණනවා. උන් දන්නෙ නැ උන්ට වෙන්නේ මොකක්ද කියල. මෙවට වගකිවයුතු වන්නේ ඉහළ පෙලෙ ඉන්න උන්. අපෙ ආගම ජාතිය විනාස කරන සක්කිලින්ට කන්න ගූත් නැතිවෙනව කාලකන්නි,YES
110,මේ බැල්ලි කොටින්ගේ ගු කනකොට අපහසුවක් දැනුනෙ නැද්ද දන් නැහැ . ඔකිට මිනිහා මැරුනම දැනුන දුකට වඩා දහස් ගුනයක දුකක් දැනෙනවා ඉස්සරහට උපසම්පදාව තියන භික්සුවක් හිරේ යැවුවට ඔකි වැඩියෙන්ම ආදරේ කෙනෙක් ඔකිට නැති වෙනවා වැඩි කල් නොගිහින්,YES
111,Cari wesi.. Me cari wesige puke arinna one miriskudu daala balu wesita. Katu kohila alayak bessuwanam kakul 2ka depeththata karala huththa athulata me huththita mita wada sathutak lebei.,YES
112,"අපේ හමුදාව බර අවි, කෙමිකල් මිසයිල පාවිච්චි කරලා සමූලඝාතන සිදුකලා කියලා මේ හුත්තිගෙ මිනිහා කිව්වා,, ඒකම මේ හුත්තිත් කියනවා,,, එහෙම එකේ මේ කැරි වේසිට දඩුවම් දෙන්නෙ එකෙක් නැද්ද.... මේ බල්ලන්ට අල්ලන කැරි වේසි හමගහන්න ඕනි පනපිටින්.",YES
113,Tho ganu jatiyatama nindawak lake wadi dawasak Yamaha thota sapa wenawamai,YES
114,මෙිි හුත්තිට සතුටුයිලු අපේ රටහරක්ටිකටත් සතුටුඇති අපේ හාමුදුරැන්⁣ට දුන්න දඩුවමට දුකයි ඊටත්වැඩිය මරාගන මැරෙන්න හිතෙන්නෙ අපෙහාමුදුරැවන්ට ජමිිබරේ අන්දපුඑකට යකෝ,YES
115,සංඝා වහන්සේ ..නමකට..විශේෂයෙන් බුද්ධ චිවරයට අගෞරව කල පාපයට....නුඹට මතු මතුත් සාප වෙිවා....,YES
116,Meki lankawe janadi pathinitakda budu dahama winasa karana hethiriyak ne,YES
117,Podi daruwo dusanaya karala maranawa ewata mokuth na ane pau apahasa neme karanna thibbe kumarihamita bella mirikala maranna,YES
118,Tigae miha marapuuna hiyanna amruwak na katin kiyapu wacanata uda painawa ubda kada hari dittadamna wadaniya karumae padisan danawamai budu ciwarayanata nigaru kirimata,YES
119,Oita wada hinsa appa rata wanawa podi daruwo antha karanawa .apra karayo koha baluwah ma gani matharamma sundara wasthuwakda.balla giya ratak.apa buddha cjiwaraya gana harima dukai.,YES
120,To wage balu wesiyek wadapu toge ammage to wadapu tenatath henagahannaona,YES
121,Kanthawakata hirihara kireema waradei.habai me wage kotiyekuge geniyekuta banna newei maruwath pau na.,YES
122,Ape ratata mokadda me wenne.mun alawanna hadamu.mahindata rata barademu.okkoma akathuwemu.me sinhalayage rata,YES
123,කැරි වේසි හෙනගහපිය,YES
124,Thambiyelta kiyala hukaganna kiyahan keri wesita,YES
125,මේ වගේ ගැනු මේ රටේන් එලවන්න ඔන නොදකින් ශාපවේවා,YES
126,Okege sathuta. As panapitama padesan denna one,YES
127,අපේ අමන පාලකයොන්ගේ වැරදි,YES
128,ගොන් වේසී මිනිහා ගිය තැනටම යන්න දගලනවා වගේ,YES
129,පල වේසියෙ යන්න මේ ලෝකෙන්ම තොලොන්චි වෙලා හැප්පිය වාහනේකට මැරෙන්නම බැල්ලිව,YES
130,මුස්ලිම් රටක ආගමික නායකයකු මෙ දෙ කලානම් රාජ්‍ය ගෙෘරව ජනතාවට දෙවියෝ,YES
131,හෙන හත ගහපන්,YES
132,මේ කල දේට තෝනමි විඳවලා මැරෙන්න ඕන තොට හෙන හතම වැදියන්.....,YES
133,Patta wesi tota henama gahapan totai toge anduwatai lagadima redi netuwa pare duwanna wei edata toge hinsanayata api gal gahanawa,YES
134,හෙන ගහනවා කැරි වෙසිට,YES
135,අපරාද කාරයෝ රට පාවලා දෙන උන් රකින සක්කිලි ආන්ඩුව,YES
136,සාප වේවා.... තිට හෙන හතම වැදියන්....,YES
137,Tho sathutu unaawagema duk wendath wenawa,YES
138,hotai thindu karapu ekatai me rajayatai henama gahapiya,YES
139,Kotinge ata deka suppu karapan gihin cari wesi. Me wesitanm hodak sidda wenne nehe. Hena gahapan,YES
140,පට්ට බැල්ලි බල්ලො දම්මලා හුකන්න ඉනී,YES
141,Huththa lokuda danne neeee,YES
142,Usawiyeth desapalana theendu,YES
143,Balu huttita hana hatama gahapiya,YES
144,Hitan magenguti kanna nethiwa oya unansewa nidahas karapan hodaekaawage,YES
145,ජම්පරේ ගස්සන්ඩ ඕනී.ආයේ චීවරේ නොදාන්නම,YES
146,Karumeta gahala akalata haduna wesiyo,YES
147,LTTE එකට කඩේ යන ..NGO සල්ලි වලට රට පාවා දෙන හැත්ත ....,YES
148,මෙි ගැනිට සාප වෙිවා,YES
149,hora ganayonta kade yana gonnu inna ratak meka,YES
150,Me genige geta gal gahanna lasthiweyalla,YES
151,පනපිටින් අපායෙ පල කොටිදෙන,YES
152,Puka diyan noel.mona paiye sinduda hutto me.සමාජෙට හොද දෙයක් කරපන්,YES
153,Mun Rata winasa karalla ewarayi,YES
154,Ponna wasi,YES
155,Aknali goda maruna aka gana api sathutu wenawa...,YES
156,කොටි දෙනක්,YES
157,Wesa genita hena gahapiya .rate nayakaya ponnayek unama ohoma tamai,YES
158,හම්පඩ පඩංගු දෙමළු වේසාවි .......,YES
159,ako ratama ltte eke salli walata wikka munta ira hada payanawaneeee,YES
160,Nadukarayage mulu engema gedidapn okage paaulama hedigeviyan,YES
161,Koti.gani.shapa.wewa.ubata,YES
162,එහෙමද ...ආස...කැරී wecii...,YES
163,Makabawilama pala paduru wesi.,YES
164,බලු වෙසි තොගෙ අම්මා බල්ලොත් ලැගලා තොව ජාතක කරලා තියෙන්නේ .,YES
165,Meeka pada show ekak,YES
166,Thota hena gahapan thoge balu patawuntath .. Balu weesi,YES
167,Henama gahapiya wesa ballita,YES
168,Tope anduwa tiyana an hodai,YES
169,Mekita dan miniha nathuwa aduwak wena ekak ne,YES
170,SATHUTU NAM PUKA DEEPAN WESA BADUWA,YES
171,Me genige jathae kalwam ekak.,YES
172,Yadamin benda vilangu la Mage putha regena yanna.Idikatu weni engili thala Dethis wadaya pamunuwanna.Aluth lowak gena sithima Danduwam dena warada nam.Kumata erata adhikaranaya Neethiya saha vinisuran,YES
173,Bona unta bus eke megala gihin bol gahanna thamai tiyenne,YES
174,තෙවරප්පෙරැමට අහුඋනොත් ඔක්කොම ගුටි කනවා යකෝ,YES
175,ලංකාවෙි මිනිස්සුන්ට මොනතරමි හොද කලත් වැඩක් නැ ඒ අයගේ ආකල්ප වෙනස්කරන්න බැ..මෙි කමෙන්ටි වලින් ඒදේ වැටහෙනවා.මහා මෝඩ මිනිස්සු..බහුතරයක්,YES
176,Ponnayo danne kellek aduwa gaman laga inna kollekta Allan gahanna witharai.,YES
177,Ape harak samjeta eka honda adrshyak,YES
178,"පොලීසිය ගොං ආතල් දෙනවා , පූජිතයෝ උබට තියෙන වැඩ මේවද?",YES
179,Tpita pisuda yako man htuwe atta kiyala aiyo,YES
180,Kimbak eduwoth ape untath amma thaththawath penne n,YES
181,Lisan nathawa yanna puluwan yako ...api dannawa oka veede nattiyak kiyala,YES
182,"මේ යුද්ධයේ සැබෑම අවසානය වෙන්න ඕන මේකයි. දැන්වත් කඩප්පුලි විග්නේෂ්වරන්, සිවාජිලිංගම්, සම්බන්ධන්, සුමන්තිරන් වැනි කාළක්නි දේශපාලකයින් දේශපාලනයෙන් අතුගා දැමිය යුතුයි.",YES
183,"මෙතන දී. අර( පාර්ලිමේන්තුවේ ) ඉන්න ( කක්කූසි කටා ) නොහොත් දත් දොස්තර කාල කන්නි රාජිතයා මතක් වෙනකොට මගේ මාළු නටනවා,,",YES
184,කෝ අපේ නානසාර ස්වාමීන් වහන්සේ ඒ හිමියනට පුළුවන් මේ වගේ සෙබළුන්ගෙන් ආදර්ශ එහෙම ලබාගන්න . බුදුන්ගෙන් ආදර්ශ ලබාගත්තේ නැතිකොට ඉතින් මොකෙක්ගෙන්වත් ආදර්ශ ගනීද ?,YES
185,Samanya minasata danena de me kalakanni desapalakayanta penne nathi eka thama karume..,YES
186,ලංකාවේ තම හරක් ඉන්න නිසා ඕවා හොඳට පිළිගන්නවා...,YES
187,අපේ හරකුන්ට ගහක් හිටවන්න ගියත් කුඩයක් අල්ලන්න ඔනේ බහින්න වලකුත් හාරලා දෙන්න ඔනේ.අපි හරි පවු නේ,YES
188,දැන් ටික කාලෙකට කලින් පාලත් සභා මන්ත්‍රී ජුන්ඩේක් පොලිස් මහතෙක් හැදුලුම් පත ඉල්ලූවා කියලා දාපු ගෙම්බර් මතක් වුනා,YES
189,Shampoo එකක් promote කරන්න දාපු ලස්සන මුට්ටියක් කියලයි මටනම් හිතෙන්නෙ... බලපං නැද්ද කියලා තා ටික දවසකින්..,YES
190,අම්මෝ ඒක හොදයි ඒත් දාගෙන යන්නේ පාරෙ නේද?,NO
191,Dakune shampoo nadda?,NO
192,මූ ජයරත්නගෙ නෑදෑයෙක්ද කොහෙද.!,NO
193,වැස්සොත් ශොට් වෙල මැරෙන්නෙ,NO
194,muladi hinawey... digatama karoth devole karala hoda idea ekak,NO
195,Hadannanam puluvan eth oka reddak adan dagena yanne kohomai ape handuruvane,NO
196,Police yen navatthana ekkak na,NO
197,Mathakane kalayak ape un fite fan ellan gihin rexona market kala,NO
198,Pahadili madi visthara karapu hati.,NO
199,Me mokkakda bn eka dapuwahama mahasona wagene,YES
200,ඇඩ් නම් ඇඩ් ... ලංකාව දියුනු නෑ කියන වුන් ට කනට ගහලා මෙක පෙන්නපල්ලා..,YES
201,ela ela thawa thawath mede wadidinu karanna,NO
202,Game gahapan aiya api gannaw,NO
203,මේක දියුණුවක් කියලා හිතනවා නම් උබට වැරදිලා සහෝදරයා,NO
204,ගෙදරට වෙලා පාඩම් කරපල්ලකෝ. පැය ගනන් පෝලීමේ ඉන්නේ,YES
205,Lankawen desapalakayo tikak yawala balamu.poster gahana widihata thama ita passe,YES
206,මෙච්චර අමාරුවෙන් පුටුවක් අල්ලගන්න ඕනිද... ගහක් යට වාඩිවෙලා පාඩම් කරන්න පුළුවන් .,NO
